"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AT5G47500",-0.893131860349297,4.63513003301651,-5.49543497370433,0.000120491699380437,0.00119088018234735,0.904820068321515
"AT2G34490",0.892789379697302,2.56105878032702,5.38773389384834,0.000144000332967859,0.00137360921915564,0.720270170323149
"AT1G05490",0.892730158907175,0.526148992057212,14.4018224864214,3.95419634124871e-09,7.46138669380568e-07,11.5195158669935
"AT1G62730",0.892708671924217,2.51836728559343,6.86600925999849,1.43556387323281e-05,0.00022737032633793,3.11325206023604
"AT1G07880",-0.89267787526933,2.4116843719672,-4.83851143858188,0.00036639028565249,0.00287998377994451,-0.244490563314442
"AT4G21215",0.892250911424092,2.51548374334084,6.29711196857255,3.36455370030661e-05,0.000441343953824078,2.22826894975245
"AT3G10340",0.892228660161885,3.23953916052784,4.555182080368,0.000602614696648512,0.0042984245785489,-0.756571082121573
"AT3G23580",0.892075740851739,3.71781272617661,10.8173831768792,1.08637557398223e-07,6.1817970919512e-06,8.16544228271155
"AT1G31320",0.892064726625858,1.7030186350127,5.47976707228439,0.000123644285232556,0.00121327340616872,0.87807010314917
"AT5G08760",-0.892025559481827,3.85593745394759,-2.25019337706888,0.0432446414884676,0.127672989298701,-5.01916735304566
"AT4G40042",0.891968762144643,4.05767327316116,4.84731347360689,0.000360830766025475,0.00284617670092091,-0.228730481105002
"AT4G32770",-0.891834403324665,3.83134989230842,-4.95135982696359,0.000301404813723716,0.00246231008932341,-0.0431449500292747
"AT4G22780",-0.890993265352541,3.12131197568481,-5.81198219029759,7.20340846639502e-05,0.000797940317736666,1.43805695984777
"AT1G66795",0.890764812194534,0.390927310648107,3.13613758363109,0.00825920290319491,0.0343345668423143,-3.41039902779162
"AT1G59865",-0.890353916117706,1.04134490022269,-2.75568293357833,0.0169248360861651,0.0604474212136472,-4.11780703427825
"AT5G16350",0.890341095898749,1.71569087360553,4.39352882369256,0.000804091082964605,0.00537692923156352,-1.05262240476622
"AT1G06360",-0.890310627334321,4.11160347820571,-6.43780370254061,2.71446843027357e-05,0.000372592566769114,2.45129635556132
"AT5G62570",-0.890271588412631,3.94896983985323,-5.42406241377388,0.000135573518277247,0.00130727909709158,0.782695573490876
"AT4G18210",0.890117198000655,1.47886035187853,5.56504225767893,0.000107474331646894,0.00108675846349321,1.0232571556523
"AT1G66590",0.889402131543481,2.89178756676798,11.747599312986,4.23886315784543e-08,3.26700925027087e-06,9.12710575205386
"AT2G19650",-0.889150651946935,1.72825071144297,-5.28524152019785,0.000170875512125478,0.00155497663237689,0.543198942969179
"AT3G61490",0.889098174459126,2.11651511466951,8.51479209247137,1.53128374294283e-06,4.18971992767017e-05,5.43689811988838
"AT3G49720",-0.889085591400437,6.48961318050039,-7.61533420796575,4.98546288787757e-06,0.000102304814373553,4.2121464201269
"AT3G48720",-0.888895337651667,4.46749234787842,-5.353633861439,0.000152411770940462,0.00143302854389696,0.66151282475404
