"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT1G44160";0.0230446111623888;2.13461361044982;0.13235213323726;0.896821981708019;1;-7.05244832396127
"AT1G27500";0.0230432572460959;2.334669711441;0.312244827395072;0.760025183118656;1;-7.00975436396398
"AT3G03340";0.0230206518477631;4.12531640129711;0.197483453371683;0.846638583429634;1;-7.04095363763707
"AT1G10460";-0.023007835677966;0.917755607064028;-0.161682483564125;0.874151620579776;1;-7.04783141918442
"AT5G67430";0.0230076613817107;1.63303987940791;0.0916381970768721;0.928444315297851;1;-7.05733393641959
"AT5G37630";0.0229945294418576;2.12444981506361;0.167066055449814;0.870002443124184;1;-7.04688433802654
"AT2G18850";-0.0229821189568278;2.32770032273496;-0.153737277194855;0.880282157952813;1;-7.04917270685179
"AT5G02870";0.0229783797014598;8.22942359571921;0.230778402527739;0.821237941219219;1;-7.03333510987181
"AT1G67150";0.0229569977398761;0.403490117060214;0.205840272893533;0.840245085740307;1;-7.03915199447414
"AT2G02720";-0.0229216996784639;0.064733581104646;-0.292752094589664;0.774536321614012;1;-7.01603233680535
"AT4G35610";0.02291764777668;0.00381960796278001;1.75039882832557;0.104645363873337;0.457215149459276;-5.59416342910098
"AT1G76380";-0.0229083731296016;2.82022348658411;-0.303946315844454;0.766191680187655;1;-7.01247576550885
"AT1G69935";0.0229045355314876;3.60135523266946;0.119271270777448;0.90696450147046;1;-7.05421124039597
"AT5G26630";0.0229043406902718;0.0974777572993925;0.346186594291095;0.734985866561774;1;-6.99787362997617
"AT1G54320";-0.0229025039441106;5.68238984012087;-0.238206881027508;0.815598303201466;1;-7.03147502939568
"AT3G24580";-0.0228959711901458;0.00381599519835764;-1.75037384612131;0.104649813143164;0.457215149459276;-5.59420099805701
"AT3G13300";0.0228889791870026;4.60194803646325;0.303215300682187;0.766735692725894;1;-7.01271203335197
"AT3G60630";-0.0228830267315323;3.48989052288386;-0.174553393754359;0.864238581593892;1;-7.04551583110837
"AT3G24830";0.0228829930355055;8.42550435954649;0.200671666922849;0.844198030824102;1;-7.04027504287498
"AT1G25550";0.0228741666101699;6.16638172749941;0.204348453764064;0.841385567788417;1;-7.03947905305335
"AT5G60340";-0.022872581644731;5.89691844089474;-0.361385869431501;0.723872999847118;1;-6.99216390065515
"AT1G77138";0.0228518756825649;1.53968028840679;0.110550055140018;0.913736287398363;1;-7.05528499400988
"AT1G21700";0.0228459219559896;3.69169521440997;0.267819559748436;0.793226228343196;1;-7.02348035983664
"AT3G09400";0.0228456723997122;0.0214436604703743;0.771120124294153;0.455030013815577;0.925134710731738;-6.75038063738404
"AT3G26560";-0.0228172830105478;3.95408480436211;-0.266918632996687;0.793904167403957;1;-7.02373723771265
"AT3G21830";0.0228153858293018;0.00847721405348336;1.10957253568646;0.288167146262032;0.749085326335837;-6.43245664570072
"AT2G41360";0.0228016892141978;0.00380028153569963;1.75026436886704;0.104669312765093;0.457215149459276;-5.59436562929284
"ATMG01350";0.0227930090630662;0.121847663172582;0.191827228558245;0.850972437011245;1;-7.04213095786828
"AT5G61950";0.0227671436715262;0.889365980572146;0.256294395489132;0.801911872497836;1;-7.02670191841508
"AT3G29300";0.0227629895707188;0.336259688729808;0.185588385007114;0.855758571090833;1;-7.04339010198425
"AT1G09210";-0.022756952131334;6.6368342396606;-0.185378249284069;0.855919881965306;1;-7.04343179169269
"AT5G53580";0.0227490768839438;4.98717411422201;0.153261094374687;0.880649842261777;1;-7.04925095682061
"AT2G34460";0.0227144433522808;6.24127328588627;0.143304061279046;0.888344655703979;1;-7.05083176373952
"AT1G26260";0.0227144269252992;1.77416167792105;0.21799392216607;0.830968008777619;1;-7.0363994939804
"AT3G24360";-0.0227114975436936;0.807702445802306;-0.172451759492252;0.865855645541572;1;-7.04590598680393
"AT2G22610";-0.0227045782190651;2.39011221226028;-0.201550232754662;0.843525789875432;1;-7.04008614703938
"AT5G12460";0.0226947350578276;0.00378245584297126;1.75013854688729;0.104691727640936;0.457215149459276;-5.59455483198039
"AT4G32970";0.0226839897484057;2.35574522696373;0.271957213736808;0.790114946489495;1;-7.02228961987826
"AT4G34180";-0.0226758751722649;5.47076839851361;-0.272827690265412;0.789460874050828;1;-7.02203681620525
"AT4G03930";0.0226732173247024;0.2089958037175;0.179183270738444;0.860678473247907;1;-7.04463973265801
"AT4G14103";0.0226718340390624;0.609663218513261;0.141618337391433;0.889648581282551;1;-7.05108892291748
