"";"activated.genes";"repressed.genes";"DEGs"
"287";"AT5G52900";"AT5G12340";"AT5G52900"
"288";"AT2G43340";"AT3G21150";"AT2G43340"
"289";"AT1G69880";"AT3G26060";"AT1G69880"
"290";"AT3G01970";"AT1G20823";"AT3G01970"
"291";"AT4G05100";"AT3G01480";"AT4G05100"
"292";"AT1G14890";"AT3G05730";"AT1G14890"
"293";"AT1G22990";"AT2G28780";"AT1G22990"
"294";"AT1G73190";"AT1G56250";"AT1G73190"
"295";"AT1G52100";"AT4G28080";"AT1G52100"
"296";"AT3G16450";"AT5G43650";"AT3G16450"
"297";"AT3G46670";"AT3G19240";"AT3G46670"
"298";"AT2G30140";"AT4G24380";"AT2G30140"
"299";"AT3G29575";"AT5G02540";"AT3G29575"
"300";"AT3G14620";"AT3G23250";"AT3G14620"
"301";"AT2G39800";"AT5G09660";"AT2G39800"
"302";"AT3G23120";"AT3G11110";"AT3G23120"
"303";"AT4G17470";"AT1G20310";"AT4G17470"
"304";"AT2G47770";"AT4G21840";"AT2G47770"
"305";"AT5G61820";"AT4G24930";"AT5G61820"
"306";"AT1G26800";"AT5G19940";"AT1G26800"
"307";"AT5G41763";"AT3G52800";"AT5G41763"
"308";"AT1G13360";"AT4G32800";"AT1G13360"
"309";"AT1G72570";"AT2G22500";"AT1G72570"
"310";"AT3G25640";"AT1G32920";"AT3G25640"
"311";"AT3G48700";"AT5G02160";"AT3G48700"
"312";"AT5G10380";"AT5G45680";"AT5G10380"
"313";"AT3G10450";"AT4G22513";"AT3G10450"
"314";"AT3G61920";"AT2G17840";"AT3G61920"
"315";"AT1G23150";"AT3G12780";"AT1G23150"
"316";"AT3G21370";"AT5G07020";"AT3G21370"
"317";"AT1G54010";"AT4G22517";"AT1G54010"
"318";"AT3G21090";"AT4G01150";"AT3G21090"
"319";"AT4G16190";"AT3G59780";"AT4G16190"
"320";"AT1G52030";"AT5G63160";"AT1G52030"
"321";"AT5G62490";"AT2G27080";"AT5G62490"
"322";"AT2G36590";"AT2G35290";"AT2G36590"
"323";"AT1G14930";"AT1G77490";"AT1G14930"
"324";"AT5G20230";"AT4G26200";"AT5G20230"
"325";"AT4G09820";"AT3G56090";"AT4G09820"
"326";"AT5G07330";"AT2G36145";"AT5G07330"
"327";"AT1G48130";"AT4G33920";"AT1G48130"
"328";"AT1G35290";"AT1G03680";"AT1G35290"
"329";"AT3G61198";"AT3G62150";"AT3G61198"
"330";"AT5G50335";"AT3G19480";"AT5G50335"
"331";"AT5G15290";"AT1G65230";"AT5G15290"
"332";"AT1G03850";"AT1G76080";"AT1G03850"
"333";"AT1G72680";"AT4G22485";"AT1G72680"
"334";"AT1G01560";"AT5G36925";"AT1G01560"
"335";"AT4G09135";"AT1G11740";"AT4G09135"
"336";"AT1G30660";"AT1G11860";"AT1G30660"
"337";"AT2G04240";"AT2G01590";"AT2G04240"
"338";"AT2G37750";"AT2G26190";"AT2G37750"
"339";"AT3G17520";"AT1G54780";"AT3G17520"
"340";"AT3G09275";"AT1G24260";"AT3G09275"
"341";"AT3G14700";"AT5G02120";"AT3G14700"
"342";"AT2G47180";"AT4G27700";"AT2G47180"
"343";"AT2G18190";"AT2G13360";"AT2G18190"
"344";"AT1G12520";"AT3G48310";"AT1G12520"
"345";"AT2G38250";"AT5G17230";"AT2G38250"
"346";"AT4G39510";"AT1G75000";"AT4G39510"
"347";"AT1G76960";"AT2G32140";"AT1G76960"
"348";"AT4G39500";"AT1G21140";"AT4G39500"
"349";"AT2G16005";"AT1G44446";"AT2G16005"
"350";"AT4G15530";"AT1G22690";"AT4G15530"
"351";"AT3G16470";"AT4G17090";"AT3G16470"
"352";"AT5G62920";"AT1G05575";"AT5G62920"
"353";"AT5G47450";"AT1G52220";"AT5G47450"
"354";"AT3G48920";"AT1G61890";"AT3G48920"
"355";"AT3G45680";"AT1G34000";"AT3G45680"
"356";"AT4G14620";"AT1G74950";"AT4G14620"
"357";"AT5G13900";"AT4G01050";"AT5G13900"
"358";"AT5G58610";"AT2G01300";"AT5G58610"
"359";"AT4G23700";"AT1G02400";"AT4G23700"
"360";"AT2G07335";"AT2G41105";"AT2G07335"
"361";"AT4G19700";"AT2G41990";"AT4G19700"
"362";"AT4G03320";"AT1G70090";"AT4G03320"
"363";"AT4G35640";"AT5G47230";"AT4G35640"
"364";"AT2G03020";"AT5G39530";"AT2G03020"
"365";"AT2G04965";"AT1G04800";"AT2G04965"
"366";"AT3G59220";"AT3G61870";"AT3G59220"
"367";"AT3G15720";"AT1G18740";"AT3G15720"
"368";"AT4G37150";"AT3G04640";"AT4G37150"
"369";"AT1G77680";"AT4G27030";"AT1G77680"
"370";"AT5G43540";"AT5G13700";"AT5G43540"
"371";"AT1G04560";"AT3G55240";"AT1G04560"
"372";"AT2G28110";"AT1G79510";"AT2G28110"
"373";"AT2G37760";"AT5G19890";"AT2G37760"
"374";"AT5G06760";"AT5G52570";"AT5G06760"
"375";"AT3G60961";"AT5G35735";"AT3G60961"
"376";"AT3G27250";"AT1G49570";"AT3G27250"
"377";"AT5G44005";"AT2G27402";"AT5G44005"
"378";"AT2G25095";"AT1G70820";"AT2G25095"
"379";"AT2G39380";"AT1G59910";"AT2G39380"
"380";"AT1G80520";"AT5G43750";"AT1G80520"
"381";"AT1G11175";"AT2G02310";"AT1G11175"
"382";"AT5G04120";"AT3G56290";"AT5G04120"
"383";"AT3G54940";"AT5G17170";"AT3G54940"
"384";"AT5G46871";"AT4G19520";"AT5G46871"
"385";"AT3G28570";"AT1G21910";"AT3G28570"
"386";"AT3G50330";"AT4G13495";"AT3G50330"
"387";"AT5G37260";"AT1G75100";"AT5G37260"
"388";"AT2G36090";"AT1G62780";"AT2G36090"
"389";"AT1G71140";"AT1G17750";"AT1G71140"
"390";"AT3G03341";"AT4G22510";"AT3G03341"
"391";"ATCG00580";"AT1G73500";"ATCG00580"
"392";"AT1G45145";"AT1G16370";"AT1G45145"
"393";"AT1G66725";"AT3G17800";"AT1G66725"
"394";"AT1G69600";"AT2G33580";"AT1G69600"
"395";"AT2G36870";"AT1G28370";"AT2G36870"
"396";"AT1G26420";"AT5G63770";"AT1G26420"
"397";"AT1G43160";"AT5G35970";"AT1G43160"
"398";"AT3G16400";"AT2G30010";"AT3G16400"
"399";"AT5G19440";"AT1G25400";"AT5G19440"
"400";"AT4G27410";"AT1G23130";"AT4G27410"
"401";"AT4G02520";"AT5G19110";"AT4G02520"
"402";"AT5G41612";"AT1G71500";"AT5G41612"
"403";"AT5G57785";"AT4G02200";"AT5G57785"
"404";"AT3G54520";"AT5G42070";"AT3G54520"
"405";"AT5G46050";"AT3G21870";"AT5G46050"
"406";"AT4G37790";"AT5G58680";"AT4G37790"
"407";"AT1G66783";"AT5G19220";"AT1G66783"
"408";"AT3G50760";"AT4G20362";"AT3G50760"
"409";"AT2G36750";"AT5G16400";"AT2G36750"
"410";"AT2G41905";"AT5G51990";"AT2G41905"
"411";"AT5G64120";"AT4G22475";"AT5G64120"
"412";"AT5G44572";"AT4G23180";"AT5G44572"
"413";"AT4G01610";"AT1G64770";"AT4G01610"
"414";"AT4G05120";"AT1G69890";"AT4G05120"
"415";"AT3G45730";"AT4G18740";"AT3G45730"
"416";"AT5G07990";"AT1G70740";"AT5G07990"
"417";"AT5G13330";"AT1G67470";"AT5G13330"
"418";"AT1G54100";"AT5G08050";"AT1G54100"
"419";"AT1G04990";"AT5G54720";"AT1G04990"
"420";"AT2G28570";"AT1G51820";"AT2G28570"
"421";"AT1G55020";"AT3G25190";"AT1G55020"
"422";"AT5G63350";"AT1G22570";"AT5G63350"
