"";"activated.genes";"repressed.genes";"DEGs"
"1609";NA;NA;"AT2G23600"
"1610";NA;NA;"AT3G56650"
"1611";NA;NA;"AT1G66500"
"1612";NA;NA;"AT1G76450"
"1613";NA;NA;"AT5G16360"
"1614";NA;NA;"AT1G64680"
"1615";NA;NA;"AT1G13609"
"1616";NA;NA;"AT1G65486"
"1617";NA;NA;"AT2G32030"
"1618";NA;NA;"AT3G54200"
"1619";NA;NA;"AT1G22590"
"1620";NA;NA;"AT3G01060"
"1621";NA;NA;"AT1G57980"
"1622";NA;NA;"AT4G14540"
"1623";NA;NA;"AT5G40950"
"1624";NA;NA;"AT5G16030"
"1625";NA;NA;"AT4G34390"
"1626";NA;NA;"AT1G30520"
"1627";NA;NA;"AT5G59550"
"1628";NA;NA;"AT1G18060"
"1629";NA;NA;"AT5G67300"
"1630";NA;NA;"AT3G23700"
"1631";NA;NA;"AT1G72640"
"1632";NA;NA;"AT1G22810"
"1633";NA;NA;"AT5G17670"
"1634";NA;NA;"AT1G37130"
"1635";NA;NA;"AT4G10300"
"1636";NA;NA;"AT3G25400"
"1637";NA;NA;"AT3G19800"
"1638";NA;NA;"AT5G65010"
"1639";NA;NA;"AT5G46110"
"1640";NA;NA;"AT5G41750"
"1641";NA;NA;"AT1G74970"
"1642";NA;NA;"AT3G06020"
"1643";NA;NA;"AT3G56790"
"1644";NA;NA;"AT2G39650"
"1645";NA;NA;"AT1G16880"
"1646";NA;NA;"AT2G35260"
"1647";NA;NA;"AT1G73655"
"1648";NA;NA;"AT3G18710"
"1649";NA;NA;"AT3G13610"
"1650";NA;NA;"AT3G15520"
"1651";NA;NA;"AT5G47590"
"1652";NA;NA;"AT5G66070"
"1653";NA;NA;"AT1G68190"
"1654";NA;NA;"AT2G33800"
"1655";NA;NA;"AT5G44050"
"1656";NA;NA;"AT3G15190"
"1657";NA;NA;"AT5G38660"
"1658";NA;NA;"AT4G23810"
"1659";NA;NA;"AT1G17380"
"1660";NA;NA;"AT5G51180"
"1661";NA;NA;"AT2G31880"
"1662";NA;NA;"AT2G40270"
"1663";NA;NA;"AT5G14060"
"1664";NA;NA;"AT5G16200"
"1665";NA;NA;"AT5G35525"
"1666";NA;NA;"AT2G05940"
"1667";NA;NA;"AT5G13190"
"1668";NA;NA;"AT3G24430"
"1669";NA;NA;"AT5G61410"
"1670";NA;NA;"AT3G27210"
"1671";NA;NA;"AT1G31540"
"1672";NA;NA;"AT5G28750"
"1673";NA;NA;"AT5G24070"
"1674";NA;NA;"AT2G27680"
"1675";NA;NA;"AT5G52970"
"1676";NA;NA;"AT1G16510"
"1677";NA;NA;"AT3G19580"
"1678";NA;NA;"AT5G38990"
"1679";NA;NA;"AT3G25920"
"1680";NA;NA;"AT2G26380"
"1681";NA;NA;"AT4G28085"
"1682";NA;NA;"AT5G64840"
"1683";NA;NA;"AT4G18010"
"1684";NA;NA;"AT2G26975"
"1685";NA;NA;"AT3G53600"
"1686";NA;NA;"AT3G55040"
"1687";NA;NA;"AT1G17620"
"1688";NA;NA;"AT2G48070"
"1689";NA;NA;"AT5G09980"
"1690";NA;NA;"AT1G50900"
"1691";NA;NA;"AT5G50950"
"1692";NA;NA;"AT2G43920"
"1693";NA;NA;"AT2G03710"
"1694";NA;NA;"AT4G18220"
"1695";NA;NA;"AT4G25700"
"1696";NA;NA;"AT5G48485"
"1697";NA;NA;"AT4G24340"
"1698";NA;NA;"AT2G37220"
"1699";NA;NA;"AT5G66675"
"1700";NA;NA;"AT1G64510"
"1701";NA;NA;"AT5G20935"
"1702";NA;NA;"AT2G40000"
"1703";NA;NA;"AT3G08720"
"1704";NA;NA;"AT4G30950"
"1705";NA;NA;"AT3G43190"
"1706";NA;NA;"AT2G35637"
"1707";NA;NA;"AT1G64150"
"1708";NA;NA;"AT3G17330"
"1709";NA;NA;"AT3G15356"
"1710";NA;NA;"AT5G26770"
"1711";NA;NA;"AT5G58120"
"1712";NA;NA;"AT1G80380"
"1713";NA;NA;"AT4G18810"
"1714";NA;NA;"AT4G01310"
"1715";NA;NA;"AT4G36950"
"1716";NA;NA;"AT4G15560"
"1717";NA;NA;"AT3G23400"
"1718";NA;NA;"AT3G19850"
"1719";NA;NA;"AT2G21140"
"1720";NA;NA;"AT4G13572"
"1721";NA;NA;"AT1G09070"
"1722";NA;NA;"AT1G35680"
"1723";NA;NA;"AT1G43560"
"1724";NA;NA;"AT3G05370"
"1725";NA;NA;"AT5G13720"
"1726";NA;NA;"AT2G28210"
"1727";NA;NA;"AT3G15760"
"1728";NA;NA;"AT3G14260"
"1729";NA;NA;"AT5G28770"
"1730";NA;NA;"AT3G14770"
"1731";NA;NA;"AT1G63090"
"1732";NA;NA;"AT3G46630"
"1733";NA;NA;"AT4G03875"
"1734";NA;NA;"AT2G27290"
"1735";NA;NA;"AT1G71400"
"1736";NA;NA;"AT5G35170"
"1737";NA;NA;"AT5G39210"
"1738";NA;NA;"AT4G30440"
"1739";NA;NA;"AT5G47190"
"1740";NA;NA;"AT3G25690"
"1741";NA;NA;"AT4G17460"
"1742";NA;NA;"AT4G17250"
"1743";NA;NA;"AT4G05275"
"1744";NA;NA;"AT1G18193"
"1745";NA;NA;"AT4G32020"
"1746";NA;NA;"AT3G08920"
"1747";NA;NA;"AT1G61470"
"1748";NA;NA;"ATCG00480"
"1749";NA;NA;"AT1G02390"
"1750";NA;NA;"AT5G05440"
"1751";NA;NA;"AT1G59730"
"1752";NA;NA;"AT5G15130"
"1753";NA;NA;"AT2G20890"
"1754";NA;NA;"AT4G35783"
"1755";NA;NA;"AT3G06145"
"1756";NA;NA;"AT4G24972"
"1757";NA;NA;"AT3G17185"
"1758";NA;NA;"AT3G12820"
"1759";NA;NA;"AT2G34460"
"1760";NA;NA;"AT1G03870"
"1761";NA;NA;"AT3G61400"
"1762";NA;NA;"AT1G13260"
"1763";NA;NA;"AT4G14870"
"1764";NA;NA;"AT2G34860"
"1765";NA;NA;"AT2G23130"
"1766";NA;NA;"AT3G54830"
"1767";NA;NA;"AT4G28030"
"1768";NA;NA;"AT1G32200"
"1769";NA;NA;"AT4G23515"
"1770";NA;NA;"AT3G44890"
"1771";NA;NA;"AT3G46530"
"1772";NA;NA;"AT4G17230"
"1773";NA;NA;"AT3G16720"
"1774";NA;NA;"AT4G34090"
"1775";NA;NA;"AT1G35350"
"1776";NA;NA;"AT4G21210"
"1777";NA;NA;"AT1G04420"
"1778";NA;NA;"AT3G22830"
"1779";NA;NA;"AT2G24850"
"1780";NA;NA;"AT4G01540"
"1781";NA;NA;"AT5G42270"
"1782";NA;NA;"AT4G24700"
"1783";NA;NA;"AT1G14480"
"1784";NA;NA;"AT5G17870"
"1785";NA;NA;"AT4G15393"
"1786";NA;NA;"AT1G66970"
"1787";NA;NA;"AT4G18370"
"1788";NA;NA;"AT1G22850"
"1789";NA;NA;"AT2G03750"
"1790";NA;NA;"AT4G02130"
"1791";NA;NA;"AT5G13120"
"1792";NA;NA;"AT2G30766"
"1793";NA;NA;"AT2G29300"
"1794";NA;NA;"AT3G09830"
"1795";NA;NA;"AT5G04230"
"1796";NA;NA;"AT5G44060"
"1797";NA;NA;"AT1G22330"
"1798";NA;NA;"AT1G01140"
"1799";NA;NA;"AT2G21120"
"1800";NA;NA;"AT1G07520"
"1801";NA;NA;"AT1G10960"
"1802";NA;NA;"AT1G15010"
"1803";NA;NA;"AT2G37660"
"1804";NA;NA;"AT3G52150"
"1805";NA;NA;"AT5G38940"
"1806";NA;NA;"AT3G63490"
"1807";NA;NA;"AT1G65190"
"1808";NA;NA;"AT1G17650"
"1809";NA;NA;"AT5G21920"
"1810";NA;NA;"AT2G33330"
"1811";NA;NA;"AT1G64860"
"1812";NA;NA;"AT3G47960"
"1813";NA;NA;"AT2G05812"
"1814";NA;NA;"AT5G08280"
"1815";NA;NA;"AT1G15825"
"1816";NA;NA;"AT4G15510"
"1817";NA;NA;"AT3G52380"
"1818";NA;NA;"AT1G53520"
"1819";NA;NA;"AT1G76110"
"1820";NA;NA;"AT3G53800"
"1821";NA;NA;"AT5G62670"
"1822";NA;NA;"AT2G35960"
"1823";NA;NA;"AT4G35655"
"1824";NA;NA;"AT5G14320"
"1825";NA;NA;"AT4G04223"
"1826";NA;NA;"AT1G52830"
"1827";NA;NA;"AT3G11945"
"1828";NA;NA;"AT1G77760"
"1829";NA;NA;"AT3G12830"
"1830";NA;NA;"AT1G26218"
"1831";NA;NA;"AT1G78915"
"1832";NA;NA;"AT4G32590"
"1833";NA;NA;"AT3G11170"
"1834";NA;NA;"AT4G19830"
"1835";NA;NA;"AT5G22690"
"1836";NA;NA;"AT4G25290"
"1837";NA;NA;"AT5G38930"
"1838";NA;NA;"AT5G35100"
"1839";NA;NA;"AT5G14970"
"1840";NA;NA;"AT1G23710"
"1841";NA;NA;"AT3G63190"
"1842";NA;NA;"AT1G74310"
"1843";NA;NA;"AT5G05580"
"1844";NA;NA;"AT1G65800"
"1845";NA;NA;"AT2G41100"
"1846";NA;NA;"AT5G54600"
"1847";NA;NA;"AT4G36710"
"1848";NA;NA;"AT5G52100"
"1849";NA;NA;"AT1G68830"
"1850";NA;NA;"AT1G05190"
"1851";NA;NA;"AT1G58602"
"1852";NA;NA;"AT5G16710"
"1853";NA;NA;"AT5G48300"
"1854";NA;NA;"AT5G14260"
"1855";NA;NA;"AT5G20140"
"1856";NA;NA;"AT4G01090"
"1857";NA;NA;"AT2G17230"
"1858";NA;NA;"AT1G63860"
"1859";NA;NA;"AT4G37240"
"1860";NA;NA;"ATCG00940"
"1861";NA;NA;"AT4G10120"
"1862";NA;NA;"AT2G41230"
"1863";NA;NA;"AT5G46270"
"1864";NA;NA;"AT3G24550"
"1865";NA;NA;"AT1G44830"
"1866";NA;NA;"AT4G36570"
"1867";NA;NA;"AT3G63350"
"1868";NA;NA;"AT2G22870"
"1869";NA;NA;"AT5G67030"
"1870";NA;NA;"AT3G06890"
"1871";NA;NA;"ATCG01190"
"1872";NA;NA;"AT1G33610"
"1873";NA;NA;"AT2G47400"
"1874";NA;NA;"AT2G14247"
"1875";NA;NA;"AT1G05207"
"1876";NA;NA;"AT3G02140"
"1877";NA;NA;"AT5G13410"
"1878";NA;NA;"AT4G38550"
"1879";NA;NA;"AT2G42600"
"1880";NA;NA;"AT1G50020"
"1881";NA;NA;"AT1G01080"
"1882";NA;NA;"AT5G03355"
"1883";NA;NA;"AT5G36120"
"1884";NA;NA;"AT1G65260"
"1885";NA;NA;"AT4G24160"
"1886";NA;NA;"AT2G23100"
"1887";NA;NA;"AT2G41120"
"1888";NA;NA;"AT1G73060"
"1889";NA;NA;"AT2G41560"
"1890";NA;NA;"AT4G36530"
"1891";NA;NA;"AT3G13120"
"1892";NA;NA;"AT5G44870"
"1893";NA;NA;"AT2G40490"
"1894";NA;NA;"AT1G22530"
"1895";NA;NA;"AT1G31800"
"1896";NA;NA;"AT5G64290"
"1897";NA;NA;"AT3G55430"
"1898";NA;NA;"AT1G17220"
"1899";NA;NA;"AT3G57930"
"1900";NA;NA;"AT5G08150"
"1901";NA;NA;"AT1G72790"
"1902";NA;NA;"AT3G26710"
"1903";NA;NA;"AT4G16980"
"1904";NA;NA;"AT3G22210"
"1905";NA;NA;"AT5G08790"
"1906";NA;NA;"AT3G10520"
"1907";NA;NA;"AT1G56140"
"1908";NA;NA;"AT4G22610"
"1909";NA;NA;"AT3G51970"
"1910";NA;NA;"AT5G55570"
"1911";NA;NA;"AT1G54500"
"1912";NA;NA;"AT5G13220"
"1913";NA;NA;"AT4G36550"
"1914";NA;NA;"AT5G21930"
"1915";NA;NA;"AT1G53670"
"1916";NA;NA;"AT1G68238"
"1917";NA;NA;"AT1G47130"
"1918";NA;NA;"AT3G12320"
"1919";NA;NA;"AT5G03204"
"1920";NA;NA;"AT4G13493"
"1921";NA;NA;"AT2G42690"
"1922";NA;NA;"AT5G63130"
"1923";NA;NA;"AT2G45760"
"1924";NA;NA;"AT1G63360"
"1925";NA;NA;"AT2G22190"
"1926";NA;NA;"AT1G50250"
"1927";NA;NA;"AT1G12250"
"1928";NA;NA;"AT2G46330"
"1929";NA;NA;"AT2G42770"
"1930";NA;NA;"AT4G21445"
"1931";NA;NA;"AT2G21385"
"1932";NA;NA;"AT2G38310"
"1933";NA;NA;"AT5G67310"
"1934";NA;NA;"AT1G61190"
"1935";NA;NA;"AT3G51820"
"1936";NA;NA;"AT1G32550"
"1937";NA;NA;"AT1G78020"
"1938";NA;NA;"AT4G26555"
"1939";NA;NA;"AT5G03880"
"1940";NA;NA;"AT2G32200"
"1941";NA;NA;"AT1G09940"
"1942";NA;NA;"AT2G28630"
"1943";NA;NA;"AT5G63790"
"1944";NA;NA;"AT2G27389"
"1945";NA;NA;"AT5G52440"
"1946";NA;NA;"AT4G38420"
"1947";NA;NA;"AT5G41100"
"1948";NA;NA;"AT2G43030"
"1949";NA;NA;"AT2G16380"
"1950";NA;NA;"AT1G58420"
"1951";NA;NA;"AT2G21510"
"1952";NA;NA;"AT2G44500"
"1953";NA;NA;"AT3G44630"
"1954";NA;NA;"AT2G47240"
"1955";NA;NA;"AT1G18170"
"1956";NA;NA;"AT5G08650"
"1957";NA;NA;"AT1G03475"
"1958";NA;NA;"AT5G54380"
"1959";NA;NA;"AT3G55630"
"1960";NA;NA;"AT3G11700"
"1961";NA;NA;"AT1G78630"
"1962";NA;NA;"AT4G09160"
"1963";NA;NA;"AT3G16000"
"1964";NA;NA;"AT2G25625"
"1965";NA;NA;"AT5G07240"
"1966";NA;NA;"AT5G10250"
"1967";NA;NA;"AT5G49740"
"1968";NA;NA;"AT3G15210"
"1969";NA;NA;"AT5G59250"
"1970";NA;NA;"AT1G13210"
"1971";NA;NA;"AT3G22420"
"1972";NA;NA;"AT3G02585"
"1973";NA;NA;"AT2G47750"
"1974";NA;NA;"AT5G12050"
"1975";NA;NA;"AT5G57170"
"1976";NA;NA;"AT2G04700"
"1977";NA;NA;"AT3G14870"
"1978";NA;NA;"AT3G27925"
"1979";NA;NA;"AT1G53635"
"1980";NA;NA;"AT3G50790"
"1981";NA;NA;"AT3G08740"
"1982";NA;NA;"AT4G02410"
"1983";NA;NA;"AT5G58250"
"1984";NA;NA;"AT5G30510"
"1985";NA;NA;"AT2G20920"
"1986";NA;NA;"AT5G48570"
"1987";NA;NA;"AT1G48350"
"1988";NA;NA;"AT1G55370"
"1989";NA;NA;"AT2G40400"
"1990";NA;NA;"AT2G45820"
"1991";NA;NA;"ATCG00190"
"1992";NA;NA;"AT1G19020"
"1993";NA;NA;"AT5G39670"
"1994";NA;NA;"AT2G33570"
"1995";NA;NA;"AT5G11650"
"1996";NA;NA;"AT2G31040"
"1997";NA;NA;"AT5G51020"
"1998";NA;NA;"AT1G20810"
"1999";NA;NA;"AT1G05675"
"2000";NA;NA;"AT5G42650"
"2001";NA;NA;"AT4G06115"
"2002";NA;NA;"AT5G63310"
"2003";NA;NA;"AT2G32540"
"2004";NA;NA;"AT2G21960"
"2005";NA;NA;"AT3G06070"
"2006";NA;NA;"AT1G64500"
"2007";NA;NA;"AT1G08540"
"2008";NA;NA;"AT4G13575"
"2009";NA;NA;"AT4G12917"
"2010";NA;NA;"AT4G02920"
"2011";NA;NA;"AT4G25390"
"2012";NA;NA;"AT1G06690"
"2013";NA;NA;"AT1G24530"
"2014";NA;NA;"AT2G27420"
"2015";NA;NA;"AT5G65220"
"2016";NA;NA;"AT2G40330"
"2017";NA;NA;"AT3G48320"
"2018";NA;NA;"AT5G19250"
"2019";NA;NA;"AT1G52190"
"2020";NA;NA;"AT1G06830"
"2021";NA;NA;"AT1G59870"
"2022";NA;NA;"AT4G30390"
"2023";NA;NA;"AT4G26260"
"2024";NA;NA;"AT4G27520"
"2025";NA;NA;"AT2G09225"
"2026";NA;NA;"AT3G05200"
"2027";NA;NA;"AT3G19200"
"2028";NA;NA;"AT3G15110"
"2029";NA;NA;"AT4G01330"
"2030";NA;NA;"AT4G26690"
"2031";NA;NA;"AT5G21960"
"2032";NA;NA;"AT2G34930"
"2033";NA;NA;"AT5G25930"
"2034";NA;NA;"AT5G39580"
"2035";NA;NA;"AT5G62865"
"2036";NA;NA;"AT5G45930"
"2037";NA;NA;"AT5G66900"
"2038";NA;NA;"AT1G63880"
"2039";NA;NA;"AT1G26730"
"2040";NA;NA;"AT3G56410"
"2041";NA;NA;"AT3G22142"
"2042";NA;NA;"AT2G18690"
"2043";NA;NA;"AT3G51510"
"2044";NA;NA;"AT1G49130"
"2045";NA;NA;"AT1G11750"
"2046";NA;NA;"AT2G33850"
"2047";NA;NA;"AT5G19100"
"2048";NA;NA;"AT2G01918"
"2049";NA;NA;"AT3G05900"
"2050";NA;NA;"AT4G01690"
"2051";NA;NA;"AT3G14810"
"2052";NA;NA;"AT4G28706"
"2053";NA;NA;"AT5G03650"
"2054";NA;NA;"AT4G37850"
"2055";NA;NA;"AT1G15960"
"2056";NA;NA;"AT3G25780"
"2057";NA;NA;"AT5G16830"
"2058";NA;NA;"AT4G15975"
"2059";NA;NA;"AT5G47840"
"2060";NA;NA;"AT1G72645"
"2061";NA;NA;"AT2G07675"
"2062";NA;NA;"AT5G05690"
"2063";NA;NA;"AT4G23570"
"2064";NA;NA;"AT3G60290"
"2065";NA;NA;"AT5G44190"
"2066";NA;NA;"AT2G47590"
"2067";NA;NA;"AT5G44070"
"2068";NA;NA;"AT4G16515"
"2069";NA;NA;"AT4G29060"
"2070";NA;NA;"AT3G04255"
"2071";NA;NA;"AT1G30360"
"2072";NA;NA;"AT2G22980"
"2073";NA;NA;"AT5G14910"
"2074";NA;NA;"AT4G38825"
"2075";NA;NA;"AT3G46490"
"2076";NA;NA;"AT2G36540"
"2077";NA;NA;"AT4G17560"
"2078";NA;NA;"AT4G39800"
"2079";NA;NA;"AT1G53903"
"2080";NA;NA;"AT5G43620"
"2081";NA;NA;"AT1G56520"
"2082";NA;NA;"AT1G12580"
"2083";NA;NA;"AT1G51110"
"2084";NA;NA;"AT5G14120"
"2085";NA;NA;"AT1G35340"
"2086";NA;NA;"AT1G53885"
"2087";NA;NA;"AT2G34060"
"2088";NA;NA;"AT3G56160"
"2089";NA;NA;"AT1G29720"
"2090";NA;NA;"AT3G54660"
"2091";NA;NA;"AT1G65490"
"2092";NA;NA;"AT1G72240"
"2093";NA;NA;"AT1G11670"
"2094";NA;NA;"ATMG00980"
"2095";NA;NA;"AT2G46240"
"2096";NA;NA;"AT5G46800"
"2097";NA;NA;"AT5G19190"
"2098";NA;NA;"AT3G48730"
"2099";NA;NA;"AT2G21500"
"2100";NA;NA;"AT2G46735"
"2101";NA;NA;"AT1G04537"
"2102";NA;NA;"AT1G21090"
"2103";NA;NA;"AT2G14080"
"2104";NA;NA;"AT5G46450"
"2105";NA;NA;"AT2G29650"
"2106";NA;NA;"AT2G40300"
"2107";NA;NA;"AT2G15760"
"2108";NA;NA;"AT1G79790"
"2109";NA;NA;"AT5G62470"
"2110";NA;NA;"AT2G30950"
"2111";NA;NA;"AT1G03400"
"2112";NA;NA;"AT1G17050"
"2113";NA;NA;"AT4G03520"
"2114";NA;NA;"AT1G51660"
"2115";NA;NA;"AT2G47940"
"2116";NA;NA;"AT4G35480"
"2117";NA;NA;"AT1G05213"
"2118";NA;NA;"AT1G03020"
"2119";NA;NA;"AT2G28605"
"2120";NA;NA;"AT2G17705"
"2121";NA;NA;"AT4G11780"
"2122";NA;NA;"AT5G06320"
"2123";NA;NA;"AT1G72950"
"2124";NA;NA;"AT1G34760"
"2125";NA;NA;"AT5G49920"
"2126";NA;NA;"AT2G41480"
"2127";NA;NA;"AT5G15410"
"2128";NA;NA;"AT2G07751"
"2129";NA;NA;"AT1G62960"
"2130";NA;NA;"AT5G46710"
"2131";NA;NA;"AT2G25080"
"2132";NA;NA;"AT1G15175"
"2133";NA;NA;"AT5G46240"
"2134";NA;NA;"AT3G62530"
"2135";NA;NA;"AT5G38005"
"2136";NA;NA;"AT3G54430"
"2137";NA;NA;"AT5G58770"
"2138";NA;NA;"AT5G08720"
"2139";NA;NA;"AT3G02380"
"2140";NA;NA;"AT5G58090"
"2141";NA;NA;"AT1G77060"
"2142";NA;NA;"AT3G52520"
"2143";NA;NA;"AT2G35660"
"2144";NA;NA;"AT5G27390"
"2145";NA;NA;"AT2G42040"
"2146";NA;NA;"AT5G35580"
"2147";NA;NA;"AT5G62020"
"2148";NA;NA;"AT1G63970"
"2149";NA;NA;"AT3G26180"
"2150";NA;NA;"AT1G02475"
"2151";NA;NA;"AT2G29510"
"2152";NA;NA;"AT1G67880"
"2153";NA;NA;"AT2G42580"
"2154";NA;NA;"AT1G73510"
"2155";NA;NA;"AT1G29110"
"2156";NA;NA;"AT4G00080"
"2157";NA;NA;"AT1G27460"
"2158";NA;NA;"AT4G08770"
"2159";NA;NA;"AT1G64980"
"2160";NA;NA;"AT2G23672"
"2161";NA;NA;"AT4G24350"
"2162";NA;NA;"AT3G63540"
"2163";NA;NA;"AT3G59060"
"2164";NA;NA;"AT1G71480"
"2165";NA;NA;"ATMG00990"
"2166";NA;NA;"AT1G24170"
"2167";NA;NA;"AT3G17690"
"2168";NA;NA;"AT5G60600"
"2169";NA;NA;"AT4G00050"
"2170";NA;NA;"AT1G18290"
"2171";NA;NA;"AT5G39785"
"2172";NA;NA;"AT4G20780"
"2173";NA;NA;"AT1G02705"
"2174";NA;NA;"AT2G18328"
"2175";NA;NA;"AT1G19380"
"2176";NA;NA;"AT3G05625"
"2177";NA;NA;"AT1G64720"
"2178";NA;NA;"AT2G22990"
"2179";NA;NA;"AT2G24395"
"2180";NA;NA;"AT3G61830"
"2181";NA;NA;"AT5G40500"
"2182";NA;NA;"AT2G24020"
"2183";NA;NA;"AT1G09932"
"2184";NA;NA;"AT1G08757"
"2185";NA;NA;"AT5G57015"
"2186";NA;NA;"AT2G02020"
"2187";NA;NA;"AT4G29590"
"2188";NA;NA;"AT5G44680"
"2189";NA;NA;"AT1G54820"
"2190";NA;NA;"AT3G17040"
"2191";NA;NA;"AT1G33600"
"2192";NA;NA;"AT5G14730"
"2193";NA;NA;"AT5G56980"
"2194";NA;NA;"AT4G11900"
"2195";NA;NA;"AT4G21740"
"2196";NA;NA;"AT4G16410"
"2197";NA;NA;"AT1G58080"
"2198";NA;NA;"AT3G57880"
"2199";NA;NA;"AT5G09876"
"2200";NA;NA;"AT1G19740"
"2201";NA;NA;"AT1G26210"
"2202";NA;NA;"AT1G80030"
"2203";NA;NA;"AT2G08220"
"2204";NA;NA;"AT3G60750"
"2205";NA;NA;"AT2G47060"
"2206";NA;NA;"ATCG00070"
"2207";NA;NA;"AT5G35790"
"2208";NA;NA;"AT3G25660"
"2209";NA;NA;"AT3G01205"
"2210";NA;NA;"AT2G31380"
"2211";NA;NA;"AT1G58370"
"2212";NA;NA;"AT4G37610"
"2213";NA;NA;"AT2G06995"
"2214";NA;NA;"AT5G28500"
"2215";NA;NA;"AT1G32900"
"2216";NA;NA;"AT3G47560"
"2217";NA;NA;"AT5G24030"
"2218";NA;NA;"AT5G49280"
"2219";NA;NA;"AT3G07470"
"2220";NA;NA;"AT2G01670"
"2221";NA;NA;"AT3G06880"
"2222";NA;NA;"AT2G04842"
"2223";NA;NA;"AT4G33470"
"2224";NA;NA;"AT2G43945"
"2225";NA;NA;"AT3G25600"
"2226";NA;NA;"AT3G21530"
"2227";NA;NA;"AT2G43100"
"2228";NA;NA;"AT5G27560"
"2229";NA;NA;"AT5G41080"
"2230";NA;NA;"AT5G39190"
"2231";NA;NA;"AT4G27440"
"2232";NA;NA;"AT4G34350"
"2233";NA;NA;"AT4G39640"
"2234";NA;NA;"AT3G16530"
"2235";NA;NA;"AT4G00770"
"2236";NA;NA;"AT4G00750"
"2237";NA;NA;"AT3G58850"
"2238";NA;NA;"AT5G12900"
"2239";NA;NA;"AT5G42765"
"2240";NA;NA;"AT3G47250"
"2241";NA;NA;"AT1G16130"
"2242";NA;NA;"AT5G13100"
"2243";NA;NA;"AT3G47570"
"2244";NA;NA;"AT5G67385"
"2245";NA;NA;"AT2G43010"
"2246";NA;NA;"AT1G09750"
"2247";NA;NA;"AT4G26860"
"2248";NA;NA;"AT2G48121"
"2249";NA;NA;"AT4G25130"
"2250";NA;NA;"AT2G38480"
"2251";NA;NA;"AT5G14570"
"2252";NA;NA;"AT1G14540"
"2253";NA;NA;"AT3G55960"
"2254";NA;NA;"AT5G07460"
"2255";NA;NA;"AT2G46750"
"2256";NA;NA;"AT5G55220"
"2257";NA;NA;"AT4G37200"
"2258";NA;NA;"AT4G14450"
"2259";NA;NA;"AT2G14960"
"2260";NA;NA;"AT1G11070"
"2261";NA;NA;"AT1G32910"
"2262";NA;NA;"AT2G19710"
"2263";NA;NA;"AT5G19855"
"2264";NA;NA;"AT1G62400"
"2265";NA;NA;"AT4G12980"
"2266";NA;NA;"AT4G04570"
"2267";NA;NA;"AT1G17340"
"2268";NA;NA;"AT4G01995"
"2269";NA;NA;"AT4G15270"
"2270";NA;NA;"AT2G21080"
"2271";NA;NA;"AT5G52960"
"2272";NA;NA;"AT4G31550"
"2273";NA;NA;"AT4G31780"
"2274";NA;NA;"AT1G76360"
"2275";NA;NA;"AT5G66530"
"2276";NA;NA;"AT4G32030"
"2277";NA;NA;"AT5G58650"
"2278";NA;NA;"AT4G15800"
"2279";NA;NA;"AT1G66100"
"2280";NA;NA;"AT5G14660"
"2281";NA;NA;"AT3G07460"
"2282";NA;NA;"AT5G63140"
"2283";NA;NA;"AT1G44920"
"2284";NA;NA;"AT4G31390"
"2285";NA;NA;"AT1G05143"
"2286";NA;NA;"AT5G42760"
"2287";NA;NA;"AT1G15140"
"2288";NA;NA;"AT1G07280"
"2289";NA;NA;"AT2G39850"
"2290";NA;NA;"AT1G19720"
"2291";NA;NA;"AT3G62820"
"2292";NA;NA;"AT1G07000"
"2293";NA;NA;"AT5G47040"
"2294";NA;NA;"AT2G42130"
"2295";NA;NA;"AT5G22620"
"2296";NA;NA;"AT1G14280"
"2297";NA;NA;"AT4G13670"
"2298";NA;NA;"AT2G27310"
"2299";NA;NA;"AT4G28025"
"2300";NA;NA;"AT3G15780"
"2301";NA;NA;"AT5G65730"
"2302";NA;NA;"AT2G04790"
"2303";NA;NA;"AT3G58120"
"2304";NA;NA;"AT4G30210"
"2305";NA;NA;"AT1G74430"
"2306";NA;NA;"AT3G22750"
"2307";NA;NA;"AT5G64460"
"2308";NA;NA;"AT2G28800"
"2309";NA;NA;"AT2G23290"
"2310";NA;NA;"AT1G21540"
"2311";NA;NA;"AT1G06410"
"2312";NA;NA;"AT1G01320"
"2313";NA;NA;"AT4G18340"
"2314";NA;NA;"AT2G21340"
"2315";NA;NA;"AT1G31290"
"2316";NA;NA;"AT2G46100"
"2317";NA;NA;"AT3G49220"
"2318";NA;NA;"AT5G63060"
"2319";NA;NA;"AT5G08410"
"2320";NA;NA;"AT5G48540"
"2321";NA;NA;"AT3G11840"
"2322";NA;NA;"AT2G32560"
"2323";NA;NA;"AT5G36920"
"2324";NA;NA;"AT3G44020"
"2325";NA;NA;"AT5G41810"
"2326";NA;NA;"AT4G02170"
"2327";NA;NA;"AT4G37000"
"2328";NA;NA;"AT4G30780"
"2329";NA;NA;"AT5G43500"
"2330";NA;NA;"AT4G27800"
"2331";NA;NA;"AT1G31130"
"2332";NA;NA;"AT3G28200"
"2333";NA;NA;"AT2G37025"
"2334";NA;NA;"AT3G12110"
"2335";NA;NA;"AT4G36730"
"2336";NA;NA;"AT1G03730"
"2337";NA;NA;"AT2G46500"
"2338";NA;NA;"AT1G47580"
"2339";NA;NA;"AT2G45470"
"2340";NA;NA;"AT1G74330"
"2341";NA;NA;"AT1G50460"
"2342";NA;NA;"AT4G00400"
"2343";NA;NA;"AT5G03940"
